Accurx_Id,Borough,Practice Code,Practice Name,Name on Accurx,Site,Practice_Manager_email,Practice_Generic_email, PCN
571,Barnet,E83600,Adler & Rosenberg (682 Finchley Road),Adler JS-The Surgery,Main Practice,aviva.adler@nhs.net; ,adler.rosenberg@nhs.net; 
1366,Islington,F83652,Amwell Group Practice,Amwell Group Practice,Main Practice,islccg.agp@nhs.net; nicola.cronin@nhs.net; sonia.hehir2@nhs.net; minhaz.bashar@nhs.net;,amwellgrouppractice@nhs.net; 
2064,Haringey,F85034,Arcadian Gardens NHS Medical Centre,Arcadian Gardens Surgery,Main Practice,arcadian.gardens@nhs.net; savvakis.georgiou@nhs.net;,arcadian.gardens@nhs.net; 
432,Islington,F83004,Archway Primary Care Team,Virtually @ Archway Medical Centre,Main Practice,kalpna.parekh@nhs.net; ,apct.admin@nhs.net; 
2201,Enfield,F85700,Arnos Grove Medical Centre,Arnos Grove Medical Centr,Main Practice,rathai.thevananth@nhs.net; ,enfccg.arnosgrove-reception@nhs.net; 
2128,Islington,F83033,Barnsbury Medical Practice ,Barnsbury Medical Practice ,Main Practice,islccg.manager.f83033@nhs.net; davide.fasana@nhs.net;,barnsbury.medicalpractice@nhs.net; 
549,Enfield,F85625,Bincote Road Surgery,Bincote Surgery,Main Practice,annwilliams3@nhs.net; ,ENFCCG.bincotesurgery@nhs.net; 
1984,Haringey,F85066,Bounds Green Group Practice,The Bounces Road Surgery,Main Practice,samina.khan2@nhs.net; bkullar@nhs.net; ,boundsgreen.grouppractice@nhs.net; 
2022,Haringey,Y03135,Bridge House,Bridge House Healthcare Centre,Main Practice,rilwan.kuku@nhs.net; ,bridgehouse.reception@nhs.net; 
548,Camden,F83048,Brunswick Medical Centre (AT Medics),Brunswick Medical Centre,Main Practice,farha.uddin1@nhs.net;,brunswickpark.medicalpractice@nhs.net; 
1535,Barnet,E83621,Brunswick Park Medical Practice,Brunswick Park Medical Practice,Main Practice,manager.bpmp@nhs.net;narmeen.jhungeer@nhs.net;,brunswickpark.medicalpractice@nhs.net; 
346,Enfield,F85682,Chalfont Surgery,Chalfont Surgery,Main Practice,edt.chalfontroad@nhs.net; ,mario.paschalides@nhs.net; 
9,Haringey,F85017,Charlton House Medical Centre (Caretaker: Haringey GP Limited),Charlton House Medical Centre,Main Practice,cassie.williams@nhs.net; michelle.rina@nhs.net; ,charltonhouse.medicalcentre@nhs.net; 
213,Camden,F83615,Cholmley Gardens Medical Practice,Cholmley Gardens Medical Practice,Main Practice,sanjay.ahuja@nhs.net;,cholmley.gardens@nhs.net; 
1163,Islington,F83064,City Road Medical Centre,City Road Medical Centre,Main Practice,cathrineholmes@nhs.net; toni.orloff@nhs.net;,cityroadmedicalcentre@nhs.net; 
519,Barnet,E83013,Cornwall House Surgery,Cornwall House Surgery,Main Practice,,Nclccg.cornwallhouse@nhs.net;
1427,Camden,F83633,Daleham Gardens Health Centre,Gray's Inn Medical Group Hampstead,Main Practice,beata.roso1@nhs.net; margherita.vitanostra@nhs.net;,dalehamgardens@nhs.net; 
1748,Enfield,F85004,Eagle House Surgery,Eagle House Surgery,Main Practice,helen.robinson3@nhs.net; ,ENFCCG.EagleHouseSurgery@nhs.net; 
596,Barnet,E83613,East Barnet Health Centre,East Barnet Health Centre,Main Practice,pm.ebhc@nhs.net; bina.pandya@nhs.net; ,general.ebhc@nhs.net; 
1775,Enfield,F85666,Edmonton Medical Centre,Edmonton Medical Centre,Main Practice,stuart.abrahams@nhs.net; ,edt.edmontonmedicalcentre@nhs.net; 
60,Enfield,Y03402,Evergreen Surgery ,Evergreen Surgery (16434),Main Practice,mario.paschalides@nhs.net; manuela.toca@nhs.net; evergreen.referrals@nhs.net; ,mario.paschalides@nhs.net; 
3,Haringey,F85071,Fernlea Surgery,Fernlea Surgery,Main Practice,joseph.ongeri@nhs.net;,HARCCG.Fernlea@nhs.net; 
1118,Camden,F83050,Fortune Green Practice,Gray's Inn Medical Group West Hampstead,Main Practice,fortunegreenpractice@nhs.net; nadeem.rashid@nhs.net; ,fortunegreenpractice@nhs.net; 
863,Enfield,F85701,Gillan House,Gillan House Surgery,Main Practice,berrin.buyukarslan@nhs.net; ,gillanhouse@nhs.net; 
1337,Camden,F83042,Grays Inn Road Medical Centre,Gray's Inn Medical Group Chancery Lane,Main Practice,beata.roso1@nhs.net; margherita.vitanostra@nhs.net;,graysinnmedical@nhs.net; 
965,Barnet,E83006,Greenfield Medical Centre,Greenfield Medical Centre,Main Practice,jacqui.tonge@nhs.net; ,greenfieldmc@nhs.net; 
1532,Haringey,F85623,Grove Road Surgery,Grove Road Surgery,Main Practice,pm.drikwueke@nhs.net; ,ikwueke.grovesurgery@nhs.net;
826,Islington,Y01066,Hanley Primary Care Centre ,Hanley Primary Care Centre ,Main Practice,stella.toffee@nhs.net; toni.orloff@nhs.net;,hanley.road@nhs.net; 
8766,Haringey,F85060,Havergal Surgery,Havergal Surgery (15930),Main Practice,huong.do@nhs.net; ,nclccg.havergalsurgery@nhs.net; 
1123,Camden,F83058,Holborn Medical Centre,Holborn Medical Centre,Main Practice,michelle.ekerin@nhs.net; ,emailadmin.hmc@nhs.net; 
1253,Camden,F83023,James Wigg Practice,James Wigg Group Practice,Main Practice,joanne.miller1@nhs.net; ,jameswiggpractice@nhs.net; 
1646,Haringey,F85705001,JS Medical Practice - Park Lane,JS Medical Practice ,Branch,sila.makoon@nhs.net; ,nclicb.reception.jsmedicalparklane@nhs.net
1646,Haringey,F85705002,JS Medical Practice - Westbury Avenue,JS Medical Practice ,Branch,sila.makoon@nhs.net; ,nclicb.reception.jsmedicalwestbury@nhs.net
1646,Haringey,F85705,JS Medical Practice (Caretaking Lawrence House Group),JS Medical Practice ,Main Practice,sila.makoon@nhs.net; ,referrals.jsmedical@nhs.net; 
786,Islington,F83063,Killick Street Health Centre,Killick Street Health Centre,Main Practice,killickstreetadmin@nhs.net;  nclicb.killickstreetmanager@nhs.net;,killickstreetadmin@nhs.net;  nclicb.killickstreetmanager@nhs.net;
328,Barnet,E83053,Lane End Medical Group,Lane End Medical Group,Main Practice,manisha.patel8@nhs.net; ruth.samson@nhs.net; ,laneendadmin@nhs.net; 
1132,Barnet,E83005,Lichfield Grove Surgery,Lichfield Grove Surgery,Main Practice,kuldip.singh@nhs.net;,lgs@nhs.net; 
159,Barnet,E83017,Longrove Surgery,Longrove Surgery ,Main Practice,claire.shea@nhs.net; lauren.kilby@nhs.net; ,longrove.referrals@nhs.net; 
572,Enfield,B6S7Y,Medicus Health Partners - Alma Healthcare Centre,Medicus Health Partners,Branch,antonica.dacosta@nhs.net; christine.tong@nhs.net; lynnmoore1@nhs.net; shahren.akhtar@nhs.net; ,
572,Enfield,I1Z8L,Medicus Health Partners - Carlton House,Medicus Health Partners,Branch,nicola.martin14@nhs.net; lynnmoore1@nhs.net; ,
572,Enfield,F0A8V,Medicus Health Partners - Connaught,Medicus Health Partners,Branch,jayalini.patel@nhs.net; lynnmoore1@nhs.net; ,
572,Enfield,T5U8N,Medicus Health Partners - Enfield Island,Medicus Health Partners,Branch,promita.dasgupta@nhs.net;,
572,Enfield,Z8G3I,Medicus Health Partners - Freezywater,Medicus Health Partners,Branch,promita.dasgupta@nhs.net; lynnmoore1@nhs.net; ,
572,Enfield,O0H1S,Medicus Health Partners - Hertford Road,Medicus Health Partners,Branch,chhaya.thakore@nhs.net; lynnmoore1@nhs.net; ,
572,Enfield,R3H6S,Medicus Health Partners - Lincoln Road,Medicus Health Partners,Branch,u.sarkar@nhs.net; manisha.makani@nhs.net; lynnmoore1@nhs.net; ,
572,Enfield,Z3D3X,Medicus Health Partners - Willow House,Medicus Health Partners,Branch,carlastephens@nhs.net; lynnmoore1@nhs.net; ,
572,Enfield,F85002,Medicus Health Partners (MHP),Medicus Health Partners,Main Practice,alisongray@nhs.net; nclicb.mhp.partners@nhs.net; lynnmoore1@nhs.net; u.sarkar@nhs.net; k.ahmet@nhs.net; ,forestroad.grouppractice@nhs.net; 
4317,Barnet,E83016,Millway Medical Practice,Millway Medical Practice,Main Practice,Hira.Haroon@nhs.net; Alison.ramsey1@nhs.net; ,millwaymedical@nhs.net; 
665,Enfield,F85650,Morecambe Surgery (Dr Theivacumar),Morecambe Surgery,Main Practice,mtheivacumar@nhs.net; ,ENFCCG.morecambe@nhs.net; 
666,Enfield,F85642,North London Health Centre,The North London Health Centre,Main Practice,tnlhc.manager@nhs.net; ,tnlhc.manager@nhs.net; tnlhc@nhs.net; 
1067,Camden,F83003,Park End Surgery,Park End Surgery,Main Practice,Sara.morreale@nhs.net;,parkend.surgery@nhs.net; 
914,Camden,F83057,Parliament Hill Surgery,Parliament Hill Medical Centre,Main Practice,gina.mccluskie@nhs.net;,phmc@nhs.net; 
2825,Islington,F83681,Partnership Primary Care Centre,Partnership Primary Care Centre,Main Practice,Rashidul.hasan@nhs.net; ,ppcc@nhs.net; 
1460,Camden,F83632,Queens Crescent Surgery,Queens Crescent Practice,Main Practice,joanne.miller1@nhs.net; ,queenscrescentsurgery@nhs.net; 
267,Haringey,Y03035,Queenswood Medical  Practice,Queenswood Medical Practice,Main Practice,shannon.hanbury@nhs.net;,queenswoodmedicalpractice@nhs.net; 
952,Camden,F83043,Ridgmount Practice ,Ridgmount Practice,Main Practice,carol.sheils@nhs.net; ,gpp@nhs.net; 
11,Islington,F83021,Ritchie Street Group Practice,Ritchie Street Group Practice,Main Practice,aganger@nhs.net; ,ritchiestreetgrouppractice@nhs.net; 
167,Haringey,F85688,Rutland House Surgery,Rutland House Surgery,Main Practice,mj.rahman@nhs.net;,rutlandhouse.surgery@nhs.net; 
2385,Islington,F83680,Sobell Medical Centre,Sobell Medical Centre,Main Practice,chambis.georgiou2@nhs.net;,sobellmedcentre.admin@nhs.net; 
811,Barnet,E83020,St George’s Medical Centre,St George’s Medical Centre,Main Practice,rizhusain@nhs.net; ,practicemanager.stgeorges@nhs.net; 
246,Islington,F83015,St John's Way Medical Centre,St Johns Way Medical Centre,Main Practice,practicemanager.sjw1@nhs.net; samina.belay@nhs.net; sherif.al-marayati@nhs.net;,admin.sjwmc@nhs.net; 
1116,Camden,F83672,St Philips Medical Centre,St Philips Medical Centre,Main Practice,spmc@nhs.net; michelle.ekerin@nhs.net; ,spmc@nhs.net; 
43,Islington,F83686,Stroud Green Medical Clinic,Stroud Green Medical Clinic,Main Practice,amy.cox5@nhs.net;,stroudgreenreception@nhs.net; 
1937,Haringey,F85065,Stuart Crescent Health Centre,Stuart Crescent Health Centre,Main Practice,tmahadevan@nhs.net;,bdavegmang@nhs.net; 
315,Barnet,E83026,Supreme Medical Centre,Supreme Medical Centre,Main Practice,jaydevvyas@nhs.net; ,supreme.medicalcentre@nhs.net; 
139,Camden,F83665,Swiss Cottage Surgery,Swiss Cottage Surgery,Main Practice,swisscottagesurgery@nhs.net; rey.felek@nhs.net; taniafidler@nhs.net;,swisscottagesurgery@nhs.net; 
2269,Haringey,F85067,The 157 Medical Practice,The 157 Medical Practice,Main Practice,n.khayrun@nhs.net; michelle.rina@nhs.net;,the157medicalpractice@nhs.net; 
9886,Haringey,F85061,The Christchurch Hall Surgery,Christchurch Hall Surgery,Main Practice,a.junaid1@nhs.net;,christchurchhallsurgery@nhs.net; 
576,Barnet,E83003,The Clinic (Oakleigh Rd North),Oakleigh Road Health Centre,Main Practice,michele.eshmene@nhs.net; Oakleigh.manager@nhs.net; ,oakleigh.reception@nhs.net; 
615,Islington,F83002,The Group Practice at River Place,The Group Practice at River Place,Main Practice,dawn.gaine@nhs.net;,riverplace.reception@nhs.net; 
2157,Islington,F83045,The Miller Practice ,The Miller Practice ,Main Practice,rebeccawood1@nhs.net; ,nclicb.themillerpractice@nhs.net;
869,Camden,F83061,The Museum Practice,Museum Practice,Main Practice,aura.zahan@nhs.net; aagrawal@nhs.net; ,museumpractice@nhs.net; 
15,Haringey,F85063,The Muswell Hill Practice,The Muswell Hill Practice,Main Practice,natalie.kerwatson@nhs.net;,HARCCG.themuswellhillpractice@nhs.net; 
2153,Islington,F83060,The Northern Medical Centre  (Caretaker: Islington GP Fed),The Northern Medical Practice,Main Practice,carollynch@nhs.net; toni.orloff@nhs.net;,
1990,Enfield,F85023,The Ordnance Unity Centre,Ordnance Unity Centre for Health,Main Practice,mario.paschalides@nhs.net; ,enfccg.ordnanceroadclinical@nhs.net; 
1795,Barnet,E83027,The Practice @ 188,The Practice @ 188,Main Practice,ryan.bentley@nhs.net; ranjanshah@nhs.net;,nclicb.188@nhs.net; 
3021,Islington,F83039,The Rise Group Practice,The Rise Group Practice,Main Practice,risegroup.pm@nhs.net; ,rise.group@nhs.net; 
932,Islington,F83664,The Village Practice,The Village Practice,Main Practice,samantha.hubbard5@nhs.net;,thevillagepractice@nhs.net; 
1585,Haringey,F85615,Tottenham Health Centre,Tottenham Health Centre,Main Practice,yesimozcan@nhs.net; ,harccg.tottenhamhealthcentre@nhs.net; 
1669,Haringey,F85013,Tynemouth Road Health Centre,Tynemouth Medical Practice,Main Practice,g.calimandri@nhs.net; ,recp.tmp@nhs.net; 
1091,Barnet,E83041,Wakeman’s Hill Surgery,Dr. Ijeoma Ukachukwu,Main Practice,soo.koh@nhs.net; ,Wakemanshill@nhs.net; 
1540,Haringey,F85031,Westbury Medical Centre,Westbury Medical Centre,Main Practice,westbury.manager@nhs.net; wmc.finance@nhs.net;,westbury.manager@nhs.net; 
108,Enfield,F85025,White Lodge Medical Practice,White Lodge Medical Practice,Main Practice,maciej.karas1@nhs.net; ,edt.whitelodgemedicalpractice@nhs.net; 
1089,Enfield,F85020,Woodberry Practice,The Woodberry Practice,Main Practice,tracey.jenkins6@nhs.net; ,enfccg.woodberrypractice@nhs.net; 
654,Barnet,Y00316,Woodlands Medical Practice,Woodlands Medical Practice,Main Practice,nclicb.woodlands@nhs.net;nclicb.woodlandspm@nhs.net;,nclicb.woodlands@nhs.net;
167,Haringey,F85688001,Rutland House Surgery - Queens Avenue,Rutland House Surgery,Branch,mj.rahman@nhs.net;,rutlandhouse.surgery@nhs.net
1688,Camden,F83017,Hampstead Group Practice,Hampstead Group Practice,Main Practice,hgpmanagement@nhs.net; pcanagasuriam@nhs.net; linda.simpson8@nhs.net; hgp@nhs.net; ,hgp@nhs.net; 
387,Islington,F83056,Mitchison Road Surgery (AT Medics),The Mitchison Road Surgery,Main Practice,denisha.morgan@nhs.net; danielle.caswell@nhs.net;,patientdata.mitchisonrd@nhs.net; 
2234,Camden,F83018,Prince of Wales Group Practice,Prince of Wales Medical Centre,Main Practice,Practicemanager.pow@nhs.net; ,pow@nhs.net; 
3135,Islington,,Islington GP Federation,Islington GP Federation,,,
